date,qqq_close,qqq_volume,tqqq_close,tqqq_volume,qqew_close,qqew_volume,spy_close,spy_volume,vix_close,vix_volume,vix9d_close,vix9d_volume,vix3m_close,vix3m_volume,vxn_close,vxn_volume,skew_close,skew_volume,cpc_close,cpc_volume,tnx_close,tnx_volume,btc_close,btc_volume,qqq_ret_1d,qqq_ret_5d,qqq_ret_21d,qqq_fwd_21d,qqq_fwd_63d,qqq_sma5,qqq_sma10,qqq_sma20,qqq_sma50,qqq_sma200,qqq_high252,qqq_drawdown,qqq_rsi14,realized_vol_10d,realized_vol_5d,vix_ratio_3m,vix9d_ratio_3m,vix_change_5d,vxn_change_5d,skew_change_5d,cpc_change_5d,tnx_change_5d,btc_ret_5d,btc_above_5d_low,tqqq_qqq_volume_ratio,tqqq_ratio_pct_252,qqew_rel_qqq_10d,qqq_rel_spy_5d,finra_debit,finra_debit_to_free_cash,finra_margin_debt_pct_lookback,finra_margin_ratio_pct_lookback,finra_margin_mom,finra_margin_3m,s_drawdown_zone,s_price_stabilizing,s_oversold_rebound,s_vol_easing,s_vol_term,s_short_vol_term,s_options_skew_cooling,s_rate_easing,s_crypto_stable,s_leverage_cooling,s_breadth_recovering,s_tech_relative,s_finra_margin_cooling,bottom_score_raw,bottom_score,bottom_score_pct,bottom_score_available_signals
2017-06-05,134.9999542236328,15727500.0,4.411530017852783,51477600.0,52.468021392822266,39400.0,211.5727081298828,44698800.0,10.069999694824219,0.0,9.6899995803833,0.0,12.850000381469727,0.0,13.199999809265137,0.0,125.05000305175781,0.0,,,2.181999921798706,0.0,2686.81005859375,1369309952.0,-0.0002091712614281649,0.01564934591584133,0.04662838845132922,-0.03852257798571934,0.020691490125243073,133.91004943847656,132.85116577148438,131.43038940429688,127.82050827026367,117.24448177337646,135.0281982421875,-0.0002091712614281649,68.84137431986753,0.0660509227762123,0.07849559643417543,0.7836575405356102,0.7540855480717893,0.25999927520751953,0.9399995803833008,-0.3600006103515625,,-0.06800007820129395,0.21993541372726555,0.23504810214657046,3.2730948974725798,0.3055555555555556,-0.002465036597529169,0.006158491220322748,590797.0,3.2657317531563006,1.0,1.0,0.022716964931778216,0.06727401152907464,0,2,0,0,2,2.0,1.0,2,2,0,1,2,0.0,14.0,10.769230769230768,53.84615384615385,13
2017-06-06,134.46351623535156,22393000.0,4.3614888191223145,77733600.0,52.238731384277344,165100.0,210.89633178710938,50375400.0,10.449999809265137,0.0,10.390000343322754,0.0,13.079999923706055,0.0,13.960000038146973,0.0,125.72000122070312,0.0,,,2.1470000743865967,0.0,2863.199951171875,2089609984.0,-0.0039736160753997,0.010754448129992156,0.03867955863490535,-0.04338995445065308,0.015568528225808675,134.1961883544922,133.21448364257813,131.66663818359376,128.0507327270508,117.36896007537842,135.0281982421875,-0.004181956170540957,63.91797088813338,0.07184033363663536,0.09334870275634469,0.7989296536864398,0.794342538526474,0.06999969482421875,1.0600004196166992,0.34999847412109375,,-0.06999993324279785,0.31612938341156305,0.25226886745359245,3.4713347921225384,0.3888888888888889,-0.005187886032250955,0.0036479487385829845,590797.0,3.2657317531563006,1.0,1.0,0.022716964931778216,0.06727401152907464,0,2,0,0,2,2.0,0.0,2,2,0,0,1,0.0,11.0,8.461538461538462,42.30769230769231,13
2017-06-07,134.9905242919922,18842400.0,4.409147262573242,81410400.0,52.401145935058594,30600.0,211.28652954101562,54144300.0,10.390000343322754,0.0,10.130000114440918,0.0,13.09000015258789,0.0,14.050000190734863,0.0,125.9800033569336,0.0,,,2.177999973297119,0.0,2732.159912109375,1517709952.0,0.003919338653305848,0.015074769742650762,0.04048129118987309,-0.03684736262706523,0.014680211544615407,134.59713439941407,133.61732025146483,131.9066474914551,128.2875439453125,117.49621353149413,135.0281982421875,-0.00027900801970071054,92.48637899657203,0.07134584789154953,0.09101301932444021,0.7937356930640411,0.7738731853596059,-0.01999950408935547,1.1100006103515625,0.8700027465820312,,-0.018000125885009766,0.19495629267490533,0.13467450416093962,4.320596102407337,0.6428571428571429,-0.0014416228180930135,0.005826487220458976,590797.0,3.2657317531563006,1.0,1.0,0.022716964931778216,0.06727401152907464,0,2,0,1,2,2.0,0.0,1,2,0,1,2,0.0,13.0,10.0,50.0,13
2017-06-08,135.1317596435547,25417400.0,4.421061038970947,92563200.0,52.59220504760742,23800.0,211.39056396484375,65950700.0,10.15999984741211,0.0,9.619999885559082,0.0,12.760000228881836,0.0,13.65999984741211,0.0,127.08999633789062,0.0,,,2.194000005722046,0.0,2805.6201171875,1281170048.0,0.001046261226876899,0.012196540882659646,0.03795536273724087,-0.03156833308961893,0.01599425022258938,134.92279052734375,133.9740463256836,132.14995422363282,128.51212036132813,117.62375286102295,135.1317596435547,0.0,91.45959557225758,0.07140550868869852,0.09151576688068284,0.7962382182733263,0.7539184728057083,0.26999950408935547,0.9700002670288086,2.5399932861328125,,-0.023000001907348633,0.16518275567401797,0.12741156984513347,3.6417257469292688,0.4603174603174603,0.0016214779500209886,0.010452812016397361,590797.0,3.2657317531563006,1.0,1.0,0.022716964931778216,0.06727401152907464,0,2,0,0,2,2.0,0.0,1,2,0,1,2,0.0,12.0,9.230769230769232,46.15384615384615,13
2017-06-09,131.75279235839844,109783700.0,4.1013569831848145,233138400.0,51.51266098022461,148500.0,211.0697784423828,132256400.0,10.699999809265137,0.0,10.369999885559082,0.0,12.960000038146973,0.0,18.1299991607666,0.0,131.25999450683594,0.0,,,2.1989998817443848,0.0,2823.81005859375,1348950016.0,-0.025004982500554718,-0.024257199062334145,0.011416422086781841,-0.003937668559720109,0.033024878769029264,134.26770935058593,133.88086853027343,132.2294906616211,128.65763412475587,117.73341640472412,135.1317596435547,-0.025004982500554718,60.07568633676909,0.14991970739449992,0.18447853319310106,0.8256172668032667,0.800154309802131,0.9499998092651367,5.219999313354492,7.029991149902344,,0.039999961853027344,0.13472102356289817,0.05098983441788385,2.1236158008884742,0.01984126984126984,0.006139102252601614,-0.02121076022345958,590797.0,3.2657317531563006,1.0,1.0,0.022716964931778216,0.06727401152907464,0,0,0,0,2,2.0,0.0,0,2,0,1,0,0.0,7.0,5.384615384615384,26.923076923076923,13
2017-06-12,131.04685974121094,104454000.0,4.027089595794678,166449600.0,51.4075813293457,63400.0,211.02639770507812,86108100.0,11.460000038146973,0.0,11.350000381469727,0.0,13.300000190734863,0.0,16.979999542236328,0.0,136.86000061035156,0.0,,,2.2130000591278076,0.0,2659.6298828125,2569530112.0,-0.00535800877196746,-0.02928219128040155,0.00679764993052423,0.01331115273627903,0.05054442172228302,133.47709045410156,133.69356994628907,132.25914001464844,128.78488906860352,117.84309997558594,135.1317596435547,-0.030229014356941253,51.1265767310697,0.15094435135249357,0.17989251447491417,0.8616541258495858,0.8533834750902065,1.390000343322754,3.7799997329711914,11.80999755859375,,0.031000137329101562,-0.010116150821422698,0.0,1.5935205927968292,0.003968253968253968,0.010349512421287788,-0.026769172699720456,590797.0,3.2657317531563006,1.0,1.0,0.022716964931778216,0.06727401152907464,0,0,0,0,2,2.0,0.0,0,1,0,2,0,0.0,7.0,5.384615384615384,26.923076923076923,13
2017-06-13,132.1104736328125,51193000.0,4.121214866638184,126492000.0,51.75150680541992,29400.0,212.05828857421875,60067000.0,10.420000076293945,0.0,9.350000381469727,0.0,12.729999542236328,0.0,15.100000381469727,0.0,136.41000366210938,0.0,,,2.2070000171661377,0.0,2717.02001953125,1781200000.0,0.008116286751944868,-0.01749948735849305,0.012698748746260646,0.007367874675790809,0.044587590286523815,133.00648193359376,133.60133514404296,132.32126388549804,128.9351092529297,117.95898914337158,135.1317596435547,-0.022358074953745977,55.44662372439748,0.15818006147495534,0.20645407504713756,0.818538919952186,0.7344855237777311,-0.029999732971191406,1.140000343322754,10.69000244140625,,0.059999942779541016,-0.05105474089603668,0.021578241803352327,2.470884691266384,0.09126984126984126,0.009217321749104723,-0.02288302198323211,590797.0,3.2657317531563006,1.0,1.0,0.022716964931778216,0.06727401152907464,0,0,0,1,2,2.0,0.0,0,1,0,1,0,0.0,7.0,5.384615384615384,26.923076923076923,13
2017-06-14,131.5363006591797,60093800.0,4.066009521484375,139012800.0,51.531768798828125,31300.0,211.78948974609375,78602300.0,10.640000343322754,0.0,9.90999984741211,0.0,12.770000457763672,0.0,16.010000228881836,0.0,135.88999938964844,0.0,,,2.138000011444092,0.0,2506.3701171875,1696560000.0,-0.00434615786200776,-0.025588637802019476,0.00510670647281275,0.01972886756624992,0.05058232466544621,132.31563720703124,133.45638580322264,132.32738342285157,129.07535202026367,118.0712134552002,135.1317596435547,-0.026607061092514206,49.86589337652612,0.15923653571424787,0.19592151156659304,0.8332028161247278,0.7760375483297034,0.25,1.9600000381469727,9.909996032714844,,-0.039999961853027344,-0.08264150056559216,0.0,2.3132635979086027,0.05952380952380952,0.0069129089242288,-0.02790268152132347,590797.0,3.2657317531563006,1.0,1.0,0.022716964931778216,0.06727401152907464,0,0,0,0,2,2.0,0.0,1,0,0,1,0,0.0,6.0,4.615384615384616,23.076923076923077,13
2017-06-15,130.9527587890625,55145200.0,4.011203765869141,141158400.0,51.32159423828125,34000.0,211.38194274902344,66464900.0,10.899999618530273,0.0,10.140000343322754,0.0,12.90999984741211,0.0,16.200000762939453,0.0,134.1199951171875,0.0,,,2.1619999408721924,0.0,2464.580078125,2026259968.0,-0.004436356102405448,-0.0309253787970748,-0.003509150008209172,0.02477779383182721,0.04906584853159823,131.4798370361328,133.2013137817383,132.4713912963867,129.19997177124023,118.17977264404297,135.1317596435547,-0.0309253787970748,41.32083897944763,0.15747764155714244,0.18880646460423836,0.844306719392816,0.7854376811131706,0.7399997711181641,2.5400009155273438,7.029998779296875,,-0.032000064849853516,-0.12155602854900271,0.0,2.5597586009299085,0.12698412698412698,0.0024960221909771096,-0.030885855073587765,590797.0,3.2657317531563006,1.0,1.0,0.022716964931778216,0.06727401152907464,0,0,0,0,2,2.0,0.0,1,0,0,1,0,0.0,6.0,4.615384615384616,23.076923076923077,13
2017-06-16,130.38453674316406,48087400.0,3.9631497859954834,93856800.0,51.101871490478516,22100.0,211.4281005859375,84553100.0,10.380000114440918,0.0,8.329999923706055,0.0,12.710000038146973,0.0,16.299999237060547,0.0,135.02000427246094,0.0,,,2.1570000648498535,0.0,2518.56005859375,1195190016.0,-0.004339137648972535,-0.010385021757356006,0.01805175658966851,0.0361202221540593,0.05725673651862451,131.20618591308593,132.73694763183593,132.5309860229492,129.3233918762207,118.287265625,135.1317596435547,-0.035130326970600145,37.70435513614795,0.13898665768123056,0.09067280897348227,0.816679786253899,0.6553894491506633,-0.31999969482421875,-1.8299999237060547,3.760009765625,,-0.04199981689453125,-0.10809863045534074,0.021902303336727824,1.951796104592887,0.011904761904761904,0.0066338540291486225,-0.012062192196455546,590797.0,3.2657317531563006,1.0,1.0,0.022716964931778216,0.06727401152907464,0,0,1,2,2,2.0,0.0,1,1,0,1,0,0.0,10.0,7.6923076923076925,38.46153846153847,13
